date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:00:57	11507/11507	---M--	200	added ('OK')	text/css	etag:%221d0117e-2cf3-5f1e4e88dd500%22	https://admin.pixelstrap.com/tivo/assets/css/vendors/photoswipe.css	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/css/vendors/photoswipe.css	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:00:58	46913/46913	---M--	200	added ('OK')	image/jpeg	etag:%221cc7b00-b741-5df6f8c8d7d00%22	https://admin.pixelstrap.com/tivo/assets/images/user/7.jpg	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/user/7.jpg	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:00:58	20566/20566	---M--	200	added ('OK')	image/jpeg	etag:%221cc6d0c-5056-5df707244dc80%22	https://admin.pixelstrap.com/tivo/assets/images/user/1.jpg	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/user/1.jpg	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:00:58	513193/513193	---M--	200	added ('OK')	image/png	etag:%221caedc8-7d4a9-5df6f8fe3fb00%22	https://admin.pixelstrap.com/tivo/assets/images/other-images/calender-bg.png	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/other-images/calender-bg.png	(from https://admin.pixelstrap.com/tivo/assets/css/style.css)
21:00:58	11434/11434	---M--	200	added ('OK')	image/jpeg	etag:%221cc7afe-2caa-5df6f7f8f1280%22	https://admin.pixelstrap.com/tivo/assets/images/user/5.jpg	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/user/5.jpg	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:00:59	672978/672978	---M--	200	added ('OK')	image/jpeg	etag:%221caed8e-a44d2-5df7f3f379080%22	https://admin.pixelstrap.com/tivo/assets/images/login/login_bg.jpg	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/login/login_bg.jpg	(from https://admin.pixelstrap.com/tivo/assets/css/style.css)
21:00:59	32219/32219	---M--	200	added ('OK')	image/png	etag:%221cc7af8-7ddb-5df707ee7b980%22	https://admin.pixelstrap.com/tivo/assets/images/user/2.png	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/user/2.png	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:00:59	11171/11171	---M--	200	added ('OK')	image/jpeg	etag:%221cc7b01-2ba3-5df708594b580%22	https://admin.pixelstrap.com/tivo/assets/images/user/8.jpg	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/user/8.jpg	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:00:59	473646/473646	---M--	200	added ('OK')	image/jpeg	etag:%221cc7b1c-73a2e-5df70aed3ca80%22	https://admin.pixelstrap.com/tivo/assets/images/user-profile/bg-profile.jpg	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/user-profile/bg-profile.jpg	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:00:59	60552/60552	---M--	200	added ('OK')	image/png	etag:%221cc6d64-ec88-5dc9b86d99000%22	https://admin.pixelstrap.com/tivo/assets/images/user/11.png	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/user/11.png	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:01:00	24658/24658	---M--	200	added ('OK')	image/png	etag:%221cc7ad3-6052-5dc9b86d99000%22	https://admin.pixelstrap.com/tivo/assets/images/user/14.png	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/user/14.png	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:01:00	11036/11036	---M--	200	added ('OK')	image/jpeg	etag:%221cc7afb-2b1c-5df6f77926500%22	https://admin.pixelstrap.com/tivo/assets/images/user/4.jpg	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/user/4.jpg	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:01:01	147060/147060	---M--	200	added ('OK')	image/png	etag:%221cc7afa-23e74-5df709161f300%22	https://admin.pixelstrap.com/tivo/assets/images/user/3.png	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/user/3.png	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:01:01	2360/2360	---M--	200	added ('OK')	image/png	etag:%221c82907-938-5dc9b86d99000%22	https://admin.pixelstrap.com/tivo/assets/images/smiley.png	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/smiley.png	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:01:01	30437/30437	---M--	200	added ('OK')	image/png	etag:%221cc5d0a-76e5-5df70cea7fc00%22	https://admin.pixelstrap.com/tivo/assets/images/social-app/post-1.png	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/social-app/post-1.png	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:01:01	28585/28585	---M--	200	added ('OK')	image/png	etag:%221cc5d0b-6fa9-5df70d1c17100%22	https://admin.pixelstrap.com/tivo/assets/images/social-app/post-2.png	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/social-app/post-2.png	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:01:01	997615/997615	---M--	200	added ('OK')	image/png	etag:%221cc5f49-f38ef-5df70f5663280%22	https://admin.pixelstrap.com/tivo/assets/images/social-app/timeline-3.png	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/social-app/timeline-3.png	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
